Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Type de peuplement";"Connaissance de la cause";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée"
2022;13845;"06";"06050";"Coursegoules";"2022-01-01 08:20:00";5000;;5000;;;;;;;;;"Non";"1";"Probable";"Malveillance";;;;;;;;;;""
2022;16667;"04";"04210";"Soleilhas";"2022-01-02 17:39:00";1500;1500;;;;;;;;;;;;"Certaine";"Involontaire (travaux)";;;;;;;;;;""
2022;13568;"06";"06074";"Lantosque";"2022-01-04 17:10:00";5000;1000;4000;;;;;;;;;"Oui";"1";"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;14942;"84";"84012";"Beaumes-de-Venise";"2022-01-05 09:38:00";5;5;;;;;;;;;;;"4";"Probable";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;14358;"66";"66048";"Cerbère";"2022-01-05 10:17:00";764;;764;;;;;;;;;"Non";"1";"Certaine";"Accidentelle";"Oui";;;;;60;100;"N";9;""
2022;13606;"2B";"2B354";"Vivario";"2022-01-05 11:10:00";10000;10000;;;;;;;;;;;"5";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;17000;"34";"34268";"Saint-Jean-de-la-Blaquière";"2022-01-06 16:24:00";784;0;784;;;;;;;;;"Non";"1";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;14946;"84";"84052";"Grambois";"2022-01-06 17:52:00";15;;;;;;;;;15;;;;"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13791;"2A";"2A004";"Ajaccio";"2022-01-07 15:41:00";10;;10;;;;;;;;;;;"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;15943;"11";"11401";"Tuchan";"2022-01-07 18:46:00";7900;;;;;;;;;;;;;"Certaine";"Accidentelle";"Oui";;;;;;;;;""
2022;13792;"2A";"2A017";"Appietto";"2022-01-10 14:12:00";100;;100;;;;;;;;;;"1";"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13579;"06";"06163";"Tende";"2022-01-10 15:15:00";600;;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13611;"2B";"2B210";"Pero-Casevecchie";"2022-01-12 09:49:00";70000;25000;45000;;;;;;;;;;"5";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;15681;"13";"13071";"Les Pennes-Mirabeau";"2022-01-12 14:35:00";600;600;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13793;"2A";"2A017";"Appietto";"2022-01-12 14:40:00";10;;10;;;;;;;;;;"1";"Inconnue";;"Non";;;;;;;;;""
2022;15792;"13";"13060";"Meyreuil";"2022-01-12 14:57:00";400;400;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13802;"2A";"2A041";"Bonifacio";"2022-01-13 13:15:00";100;;100;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;13803;"2A";"2A215";"Pianottoli-Caldarello";"2022-01-13 14:27:00";30;;30;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;20450;"06";"06050";"Coursegoules";"2022-01-13 14:51:00";500;;;;;;;;;;;"Non";;"Inconnue";;;;;;;;;;;""
2022;19547;"13";"13053";"Mallemort";"2022-01-13 15:29:00";20;20;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;13617;"2B";"2B225";"Pietra-di-Verde";"2022-01-13 16:26:00";6000;6000;;;;;;;;;;;"3";"Probable";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;18252;"84";"84008";"Le Barroux";"2022-01-13 19:12:00";400;400;;;;;;;;;;;;"Inconnue";;;;;;;;;;;""
2022;20052;"30";"30283";"Saint-Martial";"2022-01-14 13:15:00";4280;4280;;;;;;;;;;;"2";"Inconnue";;;;;;;;;;;""
2022;13619;"2B";"2B329";"Tralonca";"2022-01-14 17:26:00";300;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13620;"2B";"2B039";"Bisinchi";"2022-01-14 17:53:00";100;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13621;"2B";"2B305";"San-Martino-di-Lota";"2022-01-15 14:09:00";8050;;8050;;;;;;;;;;"1";"Certaine";"Malveillance";"Non";;;;;;;;;""
2022;13804;"2A";"2A247";"Porto-Vecchio";"2022-01-15 14:41:00";40;;40;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;14844;"48";"48022";;"2022-01-15 15:00:00";3000;;3000;;;;;;;;;"Oui";"1";"Inconnue";;"Non";;;;;;;;;""
2022;13623;"2B";"2B097";"Costa";"2022-01-15 15:16:00";10;;;;;;;;;;;;;;;;;;;;;;;;""
2022;13805;"2A";"2A154";"Marignana";"2022-01-15 16:14:00";30;;30;;;;;;;;;;;"Inconnue";;"Non";;;;;;;;;""
2022;21263;"07";"07202";"Sablières";"2022-01-15 18:06:00";27000;;27000;;;;;;;;;"Oui";"1";"Inconnue";;;;;;;;0;;10;""
2022;21752;"2A";"2A258";"Renno";"2022-01-16 12:48:00";3000;;3000;;;;;;;;;;"1";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;21764;"04";"04090";"Le Fugeret";"2022-01-16 13:23:00";221200;221200;;;;;;;;;;;"5";"Probable";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;1670;"67";"67295";"Mittelbergheim";"2022-01-16 14:04:00";2;0;;2;;;2;0;0;0;"Estimées";;;;;;;;;;;;;;""
2022;13627;"2B";"2B036";"Bigorno";"2022-01-16 14:20:00";9500;1500;8000;;;;;;;;;;"1";"Probable";"Malveillance";"Non";;;;;;;;;""
2022;21374;"07";"07315";"La Souche";"2022-01-16 16:34:00";50000;;50000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";;;;;;;40;"N";0;""
2022;19514;"13";"13056";"Martigues";"2022-01-17 02:37:00";20;20;;;;;;;;;;"Non";"1";"Inconnue";;;;;;;;;;;""
2022;21798;"04";"04061";"Colmars";"2022-01-17 11:41:00";105700;105700;;;;;;;;;;;"5";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;15276;"07";"07093";"Genestelle";"2022-01-17 16:58:00";15000;;15000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";;;;;;;45;"N";6;""
2022;15944;"11";"11285";"Peyriac-de-Mer";"2022-01-17 17:46:00";6000;;;;;;;;;;;;;"Probable";"Involontaire (particulier)";"Oui";;;;;;;;;""
